Model,Concept,Domain,Strategy,Eval_Mode,CSI,C_h,Mean_Score,Min_Score,Max_Score,Decay_Direction,R_squared,Has_Warnings
DeepSeek-V3-0324,impressionism,art,compression_aware,lenient,0.4127,0.020689655172413793,0.680,0.400,1.000,improvement,0.326,Yes
gpt-4.1,impressionism,art,compression_aware,lenient,0.0562,0.020689655172413793,0.787,0.500,1.000,decay,0.010,Yes
gpt-5-mini,impressionism,art,compression_aware,lenient,0.1234,0.020689655172413793,0.837,0.600,1.000,improvement,0.087,Yes
gpt-oss-120b,impressionism,art,compression_aware,lenient,0.2893,0.020689655172413793,0.843,0.667,1.000,improvement,0.614,Yes
grok-4-fast-reasoning,impressionism,art,compression_aware,lenient,0.2976,0.020689655172413793,0.803,0.600,1.000,improvement,0.421,Yes
mistral-medium-2505,impressionism,art,compression_aware,lenient,0.1317,0.020689655172413793,0.797,0.400,1.000,improvement,0.047,Yes
Phi-4-mini-instruct,impressionism,art,compression_aware,lenient,0.2303,0.020689655172413793,0.753,0.500,1.000,improvement,0.163,Yes
DeepSeek-V3-0324,natural_selection,biology,compression_aware,lenient,0.1296,0.01694915254237288,0.893,0.667,1.000,decay,0.120,Yes
gpt-4.1,natural_selection,biology,compression_aware,lenient,0.1727,0.01694915254237288,0.927,0.800,1.000,improvement,0.491,Yes
gpt-5-mini,natural_selection,biology,compression_aware,lenient,0.0400,0.01694915254237288,0.780,0.400,1.000,decay,0.004,Yes
gpt-oss-120b,natural_selection,biology,compression_aware,lenient,0.2623,0.01694915254237288,0.747,0.333,1.000,decay,0.096,Yes
grok-4-fast-reasoning,natural_selection,biology,compression_aware,lenient,0.0491,0.01694915254237288,0.900,0.667,1.000,decay,0.018,Yes
mistral-medium-2505,natural_selection,biology,compression_aware,lenient,0.0460,0.01694915254237288,0.860,0.667,1.000,decay,0.018,Yes
Phi-4-mini-instruct,natural_selection,biology,compression_aware,lenient,0.1296,0.01694915254237288,0.893,0.667,1.000,decay,0.120,Yes
